Sport,League,Match,Bet Type,Bet,Odds,Edge,Confidence,Stake,Info,Date_Generated,Result,Profit,Score
Soccer,EPL,Brentford vs Burnley,Moneyline,Away Win,7.0,0.6823077595140128,0.2403296799305732,0.0320039424824958,Best: BetRivers,2025-11-26,Loss,-0.0320039424824958,3-0
Soccer,EPL,Manchester City vs Leeds United,Moneyline,Home Win,1.27,0.1338384777642025,0.892786202963939,0.1478256704733184,Best: LowVig.ag,2025-11-26,Pending,0.0,
Soccer,EPL,Everton vs Newcastle United,Moneyline,Away Win,2.55,0.1352419923658887,0.4451929381827015,0.0240232381393622,Best: FanDuel,2025-11-26,Pending,0.0,
Soccer,EPL,Tottenham Hotspur vs Fulham,Moneyline,Home Win,2.14,0.1125688772363082,0.5198919987085552,0.0278044797750845,Best: LowVig.ag,2025-11-26,Pending,0.0,
Soccer,EPL,Nottingham Forest vs Brighton and Hove Albion,Moneyline,Home Win,2.82,0.2183351097148158,0.4320337268492255,0.0338322377999685,Best: LowVig.ag,2025-11-26,Pending,0.0,
Soccer,EPL,West Ham United vs Liverpool,Moneyline,Home Win,5.2,0.0881300298641463,0.2092557749738742,0.0056406217163598,Best: BetRivers,2025-11-26,Pending,0.0,
Soccer,EPL,West Ham United vs Liverpool,Moneyline,Draw,4.38,0.0805742002471412,0.2467064384125893,0.0064081349857207,Best: LowVig.ag,2025-11-26,Pending,0.0,
Soccer,EPL,Chelsea vs Arsenal,Moneyline,Away Win,2.25,0.1073425676105361,0.4921522522713494,0.024496857940892,Best: BetRivers,2025-11-26,Loss,-0.024496857940892,2-2
Soccer,EPL,Bournemouth vs Everton,Moneyline,Away Win,3.9,0.4549438403769854,0.373062523173586,0.0436268162165448,Best: Bovada,2025-11-26,Loss,-0.0436268162165448,2-1
Soccer,EPL,Fulham vs Manchester City,Moneyline,Away Win,1.64,0.2799123479948366,0.780434358533437,0.1269413727613245,Best: Bovada,2025-11-26,Pending,0.0,
